AI课ID,使用模型类型,知识库资源个数,是否24年开设,平台ID,课程名称,教学班ID,教学班所属院系,主讲教师ID,班级正式学生人数,雨课堂日均开课时长（班级开课总时长/开课天数）,布置作业个数,作业在成绩中占比,布置考试个数,考试在成绩中占比,起始时间,结束时间,持续多少周,调整原因
cH4W4nc97,智谱GLM-4-Plus,1233,否,7n0RIxtsze,组织学与胚胎学,PWNTVYeOZHLHx,基础医学院,PWNTVYmU4Maac,47,2:48:55,0,0.1,4,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
7n0RIxtdHR,智谱GLM-4-Plus,374,否,7n0RIxtpvm,电路分析基础,PWNTVYeP3z0eI,电气工程学院,PWNTVYeKjgOuT,21,0:52:06,35,0.3,0,0.0,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
cH4W4ndan,GPT-4o,262,否,7n0RIxtgs0,中国语言之美：成语篇（25春）,PWNTVYeP3U7ZC,海外教育学院,PWNTVYeFhHqbn,21,3:06:05,2,0.25,3,0.5,2025-02-24 00:00:00,2025-06-29 00:00:00,18,使用学校统一时间
7n0RIxucos,智谱GLM-4-Plus,264,否,7n0RIxtsze,妇产科护理学,PWNTVYePbXx5Q,护理学院,PWNTVYnaY0d0t,41,0:00:00,1,0.3,0,0.0,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
7n0RIxucos,智谱GLM-4-Plus,264,否,7n0RIxtsze,妇产科护理学,PWNTVYePbXx6l,护理学院,PWNTVYnaY0d0t,51,0:00:00,1,0.3,0,0.0,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
cH4W4nc9E,智谱GLM-4-Plus,198,否,7n0RIxtsze,临床精神病学,PWNTVYeQY8jev,精神卫生学院,PWNTVYnb6DN9d,146,0:00:00,2,0.3,0,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
7n0RIxucoY,智谱GLM-4-Plus,247,否,7n0RIxtsze,流行病学,PWNTVYeR1YYiH,公共卫生学院,PWNTVYnaY0cJz,50,0:00:00,0,0.0,1,0.4,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
7n0RIxucoY,智谱GLM-4-Plus,247,否,7n0RIxtsze,流行病学,PWNTVYeR1YYjb,公共卫生学院,PWNTVYnaY0cJz,57,0:00:00,0,0.0,1,0.4,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
7n0RIxucoY,智谱GLM-4-Plus,247,否,7n0RIxtsze,流行病学,PWNTVYeR1YYjf,公共卫生学院,PWNTVYnaY0cJz,46,0:00:00,0,0.0,1,0.4,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
7n0RIxucoY,智谱GLM-4-Plus,247,否,7n0RIxtsze,流行病学,PWNTVYeR1YYji,公共卫生学院,PWNTVYnaY0cJz,43,0:00:00,0,0.0,1,0.4,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
7n0RIxucoY,智谱GLM-4-Plus,247,否,7n0RIxtsze,流行病学,PWNTVYeR1YYjj,公共卫生学院,PWNTVYnaY0cJz,36,0:00:00,0,0.0,1,0.4,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
7n0RIxucoY,智谱GLM-4-Plus,247,否,7n0RIxtsze,流行病学,PWNTVYeR1YYjM,公共卫生学院,PWNTVYnaY0cJz,43,0:00:00,0,0.0,1,0.4,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
7n0RIxucoY,智谱GLM-4-Plus,247,否,7n0RIxtsze,流行病学,PWNTVYeR1YYjO,公共卫生学院,PWNTVYnaY0cJz,46,0:00:00,0,0.0,1,0.4,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
7n0RIxucoY,智谱GLM-4-Plus,247,否,7n0RIxtsze,流行病学,PWNTVYeR1YYjP,公共卫生学院,PWNTVYnaY0cJz,45,0:00:00,0,0.0,1,0.4,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
7n0RIxucoY,智谱GLM-4-Plus,247,否,7n0RIxtsze,流行病学,PWNTVYeR1YYjQ,公共卫生学院,PWNTVYnaY0cJz,42,0:00:00,0,0.0,1,0.4,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
